what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1487307215154
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1487307224846
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1487307238730
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1487307244814
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1487307247478
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1487307250221
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1487307254504
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1487307275390
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1487307288339
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1487307314104
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1487307322255
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1487307328502
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1487307332473
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1487307337918
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1487307357069
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1487307386263
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1487307391733
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1487307400191
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1487307405292
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1487307412459
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1487307416761
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1487307420124
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1487307430318
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1487307433157
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1487307437072
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1487307451666
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1487307468771
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1487307493165
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1487307493710
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1487307493713
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1487307493716
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1487307493718
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.scroll.lineDown",1487307493722
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1487307494821
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1487307507748
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1487307526142
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1487307537056
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1487307545273
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1487307593651
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1487307619820
